"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5160","Scroll and click Add to Cart","","2026-04-18","failed","2026-04-18","","advanced\scroll.spec.js","",""
"","15012","Dashboard Test @smoke","","2026-04-27","failed","2026-04-27","","homepage.spec.js","",""
"","16872","Dashboard Test @smoke","chromium","2026-04-29","failed","2026-04-29","","homepage.spec.js","",""
"","13158","Handle Multiple Windows/Tabs","","2026-04-25","passed","2026-04-25","","advanced\HandleMultipleWindows\Tabs.spec.js","",""
"","62689","Scroll to element using scrollIntoViewIfNeeded","","2026-04-18","broken","2026-04-18","","advanced\scroll.spec.js","",""
"","15128","html Table","","2026-04-25","failed","2026-04-25","","test-data\htmlTable.spec.js","",""
"","14584","Dashboard Test @smoke","","2026-04-27","failed","2026-04-27","","homepage.spec.js","",""
"","13273","Dashboard Test @smoke","","2026-04-18","failed","2026-04-18","","homepage.spec.js","",""
"","14757","Dashboard Test @smoke","","2026-04-27","failed","2026-04-27","","homepage.spec.js","",""
"","15707","Dashboard Test @smoke","","2026-04-27","failed","2026-04-27","","homepage.spec.js","",""
"","17706","Dashboard Test @smoke","","2026-04-27","failed","2026-04-27","","homepage.spec.js","",""
"","1465","Collections: Array + Set + Map with Playwright","","2026-04-18","passed","2026-04-18","","Collections\collection.spec.js","",""
"","1704","Actions Example","","2026-04-27","passed","2026-04-27","","basics\actions.spec.js","",""
